h3_id,listing_count,median_price,mean_price,min_price,max_price,accommodates_mean,accommodates_median,bedrooms_mean,bedrooms_median,beds_mean,beds_median,bathrooms_mean,bathrooms_median,distance_to_center_km_mean,distance_to_center_km_median
881f058339fffff,594,1223.0,1306.0016835016836,314.0,2750.0,3.1026936026936025,2.5,1.4764309764309764,1.0,1.6952861952861953,1.0,1.0311447811447811,1.0,1.301919191919192,1.34
881f058351fffff,501,1035.0,1113.9900199600797,270.0,2728.0,2.8942115768463075,2.0,1.334,1.0,1.5249500998003993,1.0,1.0159680638722555,1.0,2.624610778443114,2.64
881f05833dfffff,436,1201.5,1276.2591743119267,323.0,2805.0,3.31651376146789,3.0,1.5711009174311927,1.0,1.7775229357798166,2.0,1.0951834862385321,1.0,2.003922018348624,2.01
881f058331fffff,399,1170.0,1243.814536340852,360.0,2800.0,2.9649122807017543,2.0,1.380952380952381,1.0,1.5714285714285714,1.0,1.0314070351758795,1.0,1.5220300751879698,1.53
881f058357fffff,390,1201.5,1265.876923076923,345.0,2726.0,2.9743589743589745,2.0,1.4153846153846155,1.0,1.5307692307692307,1.0,1.028205128205128,1.0,1.7776153846153846,1.77
881f058355fffff,377,1085.0,1175.4641909814325,246.0,2550.0,3.042440318302387,2.0,1.4350132625994696,1.0,1.5782493368700266,1.0,1.0490716180371353,1.0,2.43946949602122,2.41
881f058229fffff,374,1140.0,1235.8475935828876,495.0,2790.0,2.770053475935829,2.0,1.3823529411764706,1.0,1.4438502673796791,1.0,1.0240641711229947,1.0,3.472139037433155,3.47
881f05835dfffff,366,959.0,1070.4890710382513,299.0,2800.0,2.9644808743169397,2.0,1.349726775956284,1.0,1.5273224043715847,1.0,1.0314207650273224,1.0,3.111612021857923,3.09
881f058311fffff,318,1595.5,1616.7924528301887,343.0,2783.0,3.5786163522012577,3.5,1.5817610062893082,1.0,1.9937106918238994,2.0,1.0927672955974843,1.0,0.7033647798742138,0.75
881f05831dfffff,280,1278.0,1359.817857142857,411.0,2791.0,3.1607142857142856,3.0,1.5535714285714286,1.0,1.6928571428571428,1.0,1.0517857142857143,1.0,1.094607142857143,1.2
881f058319fffff,271,1425.0,1497.2730627306273,136.0,2790.0,3.4354243542435423,3.0,1.6678966789667897,1.0,1.944649446494465,2.0,1.0590405904059041,1.0,1.4745756457564576,1.51
881f058221fffff,271,1260.0,1348.719557195572,374.0,2700.0,3.206642066420664,3.0,1.6125461254612545,1.0,1.7453874538745386,1.0,1.0461254612546125,1.0,2.8490036900369007,2.85
881f058063fffff,248,965.0,1048.2983870967741,300.0,2684.0,2.6693548387096775,2.0,1.2540322580645162,1.0,1.3790322580645162,1.0,1.0181451612903225,1.0,2.6126612903225808,2.65
881f058309fffff,245,1086.0,1163.330612244898,288.0,2625.0,2.9224489795918367,2.0,1.3265306122448979,1.0,1.489795918367347,1.0,1.0346938775510204,1.0,2.5475102040816324,2.56
881f058313fffff,234,1691.5,1711.8418803418804,192.0,2800.0,3.747863247863248,4.0,1.5299145299145298,1.0,2.076923076923077,2.0,1.0341880341880343,1.0,1.1532478632478633,1.16
881f0591b7fffff,231,900.0,993.2467532467532,184.0,2700.0,2.948051948051948,2.0,1.3636363636363635,1.0,1.4869565217391305,1.0,1.0411255411255411,1.0,3.9167099567099566,3.95
881f05830bfffff,222,1100.0,1169.873873873874,392.0,2670.0,3.0135135135135136,2.0,1.382882882882883,1.0,1.545045045045045,1.0,1.0382882882882882,1.0,1.8396846846846848,1.8450000000000002
881f058359fffff,211,930.0,1005.0995260663507,305.0,2269.0,2.772511848341232,2.0,1.2748815165876777,1.0,1.5213270142180095,1.0,1.0308056872037914,1.0,3.1935545023696683,3.17
881f058317fffff,196,1609.0,1622.1479591836735,224.0,2800.0,3.836734693877551,4.0,1.6224489795918366,1.0,2.188775510204082,2.0,0.9795918367346939,1.0,0.42928571428571427,0.44
881f058005fffff,187,987.0,1093.524064171123,236.0,2700.0,2.9732620320855614,2.0,1.3796791443850267,1.0,1.5668449197860963,1.0,1.03475935828877,1.0,3.333743315508021,3.28
881f05806dfffff,180,1298.5,1363.8222222222223,225.0,2700.0,3.161111111111111,3.0,1.4111111111111112,1.0,1.7055555555555555,1.0,1.0888888888888888,1.0,1.2208333333333334,1.27
881f058029fffff,174,951.5,1065.6896551724137,265.0,2803.0,3.0977011494252875,2.0,1.4885057471264367,1.0,1.6954022988505748,1.0,1.043103448275862,1.0,3.1397701149425292,3.15
881f058307fffff,169,1300.0,1408.2721893491125,465.0,2708.0,3.331360946745562,3.0,1.5680473372781065,1.0,1.8579881656804733,2.0,1.0650887573964498,1.0,1.8911834319526628,1.87
881f05833bfffff,163,1287.0,1379.6748466257668,417.0,2800.0,2.9938650306748467,2.0,1.392638036809816,1.0,1.5766871165644172,1.0,1.0429447852760736,1.0,0.7623926380368098,0.75
881f058303fffff,154,1326.5,1374.3506493506493,295.0,2722.0,3.2987012987012987,3.0,1.6103896103896105,1.0,1.7987012987012987,1.5,1.0487012987012987,1.0,1.2855844155844156,1.29
881f058265fffff,154,1047.5,1152.6038961038962,270.0,2600.0,3.188311688311688,2.5,1.4935064935064934,1.0,1.7597402597402598,1.0,1.1045751633986929,1.0,3.7186363636363633,3.725
881f05831bfffff,140,1437.5,1499.9071428571428,175.0,2752.0,2.914285714285714,2.0,1.3357142857142856,1.0,1.55,1.0,1.0214285714285714,1.0,1.5418571428571428,1.53
881f058225fffff,139,1400.0,1526.3597122302158,361.0,2800.0,3.402877697841727,3.0,1.7266187050359711,1.0,1.985611510791367,2.0,1.0935251798561152,1.0,2.082661870503597,2.1
881f058069fffff,138,1500.0,1514.876811594203,360.0,2715.0,3.0434782608695654,2.0,1.4855072463768115,1.0,1.6594202898550725,1.0,1.0144927536231885,1.0,1.4566666666666668,1.47
881f05834bfffff,130,906.0,999.6846153846154,336.0,2700.0,3.076923076923077,3.0,1.4,1.0,1.5307692307692307,1.0,1.0384615384615385,1.0,3.860076923076923,3.88
881f058065fffff,128,1178.5,1248.5546875,450.0,2678.0,3.234375,3.0,1.5859375,1.0,1.8515625,2.0,1.11328125,1.0,1.619140625,1.57
881f058301fffff,128,1169.5,1301.921875,454.0,2670.0,3.1953125,3.0,1.5625,1.0,1.828125,1.0,1.03515625,1.0,2.163125,2.17
881f058143fffff,126,1350.0,1372.7777777777778,450.0,2700.0,3.7142857142857144,4.0,1.8174603174603174,2.0,2.142857142857143,2.0,1.0833333333333333,1.0,3.4962698412698416,3.505
881f05804dfffff,123,1485.0,1588.5447154471544,500.0,2742.0,3.430894308943089,3.0,1.5772357723577235,1.0,1.934959349593496,2.0,1.0609756097560976,1.0,1.7946341463414635,1.77
881f058061fffff,119,1313.0,1334.2016806722688,396.0,2752.0,3.19327731092437,3.0,1.5714285714285714,1.0,1.7627118644067796,1.0,1.0336134453781514,1.0,1.9094117647058824,2.01
881f05822dfffff,119,1300.0,1428.4621848739496,457.0,2629.0,3.411764705882353,3.0,1.7647058823529411,2.0,2.008403361344538,2.0,1.0756302521008403,1.0,2.8141176470588234,2.84
881f05811dfffff,114,1133.5,1270.8333333333333,386.0,2742.0,3.473684210526316,3.0,1.780701754385965,2.0,1.9473684210526316,2.0,1.0789473684210527,1.0,4.613859649122807,4.61
881f058261fffff,113,908.0,1085.8849557522124,450.0,2580.0,2.920353982300885,2.0,1.3628318584070795,1.0,1.5132743362831858,1.0,1.0265486725663717,1.0,4.089469026548673,4.04
881f058045fffff,104,1348.0,1513.2211538461538,441.0,2771.0,3.0288461538461537,2.0,1.3942307692307692,1.0,1.6442307692307692,1.0,1.0625,1.0,1.7724038461538463,1.835
881f058343fffff,103,1000.0,1094.1359223300972,389.0,2600.0,3.0194174757281553,2.0,1.4466019417475728,1.0,1.6601941747572815,1.0,1.0980392156862746,1.0,3.0425242718446603,2.98
881f058267fffff,103,980.0,1173.7087378640776,284.0,2692.0,3.1650485436893203,3.0,1.4757281553398058,1.0,1.6213592233009708,1.0,1.029126213592233,1.0,3.656019417475728,3.67
881f058021fffff,102,977.5,1061.5196078431372,240.0,2745.0,3.1862745098039214,2.0,1.4901960784313726,1.0,1.7941176470588236,1.0,1.1225490196078431,1.0,3.828921568627451,3.815
881f05802bfffff,101,1099.0,1280.950495049505,265.0,2700.0,4.02970297029703,4.0,1.9702970297029703,1.0,2.504950495049505,2.0,1.202970297029703,1.0,3.915742574257426,3.9
881f05814bfffff,96,1142.0,1247.8958333333333,489.0,2520.0,3.1145833333333335,3.0,1.4270833333333333,1.0,1.7894736842105263,2.0,1.03125,1.0,2.9752083333333332,3.02
881f05832bfffff,93,1300.0,1348.1290322580646,434.0,2700.0,3.6881720430107525,4.0,1.89247311827957,2.0,2.10752688172043,2.0,1.2634408602150538,1.0,2.6159139784946235,2.55
881f05830dfffff,84,1234.0,1321.5714285714287,376.0,2700.0,3.0833333333333335,2.5,1.4819277108433735,1.0,1.5714285714285714,1.0,1.0238095238095237,1.0,3.0109523809523813,2.93
881f058159fffff,83,1810.0,1779.566265060241,782.0,2790.0,4.048192771084337,4.0,2.0481927710843375,2.0,2.4096385542168677,2.0,1.2530120481927711,1.0,2.146987951807229,2.18
881f058321fffff,82,900.0,985.9756097560976,400.0,2712.0,3.1951219512195124,3.0,1.475609756097561,1.0,1.5975609756097562,1.0,1.0182926829268293,1.0,3.53,3.51
881f058353fffff,81,1181.0,1265.283950617284,536.0,2258.0,3.037037037037037,2.0,1.2962962962962963,1.0,1.5925925925925926,1.0,1.0,1.0,1.9535802469135803,1.95
881f058023fffff,78,1117.5,1278.2820512820513,425.0,2650.0,4.064102564102564,4.0,1.935897435897436,2.0,2.423076923076923,2.0,1.25,1.0,4.488717948717949,4.485
881f058067fffff,74,1040.5,1166.027027027027,450.0,2466.0,2.8513513513513513,2.0,1.3783783783783783,1.0,1.635135135135135,1.0,1.027027027027027,1.0,2.4529729729729732,2.42
881f058329fffff,72,960.0,1124.1666666666667,315.0,2610.0,3.0555555555555554,3.0,1.4305555555555556,1.0,1.5694444444444444,1.0,1.0486111111111112,1.0,3.525833333333333,3.44
881f058337fffff,66,1429.0,1528.0454545454545,495.0,2700.0,3.5454545454545454,3.0,1.696969696969697,1.0,1.9545454545454546,2.0,1.1666666666666667,1.0,2.133181818181818,2.1
881f05822bfffff,64,1434.5,1540.9375,541.0,2800.0,3.546875,4.0,1.765625,2.0,2.125,2.0,1.1328125,1.0,3.81015625,3.89
881f058325fffff,60,967.5,996.3833333333333,272.0,2234.0,3.1333333333333333,3.0,1.4833333333333334,1.0,1.8333333333333333,1.0,1.1916666666666667,1.0,4.428,4.45
881f058315fffff,58,1624.5,1709.7586206896551,657.0,2755.0,3.9655172413793105,4.0,1.7241379310344827,1.0,2.2758620689655173,2.0,1.103448275862069,1.0,0.6263793103448275,0.64
881f058369fffff,58,810.5,915.948275862069,249.0,1815.0,2.9827586206896552,2.0,1.396551724137931,1.0,1.6551724137931034,1.0,1.0689655172413792,1.0,4.932413793103448,4.96
881f058363fffff,56,1223.0,1327.142857142857,355.0,2800.0,3.642857142857143,4.0,1.7857142857142858,1.0,1.9464285714285714,2.0,1.1875,1.0,3.6026785714285716,3.565
881f058263fffff,55,1170.0,1338.1090909090908,680.0,2739.0,3.618181818181818,3.0,1.690909090909091,1.0,1.8363636363636364,1.0,1.1181818181818182,1.0,4.062,4.09
881f058333fffff,54,1474.5,1522.1851851851852,711.0,2552.0,3.5,4.0,1.6111111111111112,1.5,1.9814814814814814,2.0,1.1203703703703705,1.0,1.6546296296296295,1.68
881f05806bfffff,54,1230.0,1331.3333333333333,675.0,2429.0,2.888888888888889,2.0,1.4074074074074074,1.0,1.537037037037037,1.0,0.9907407407407407,1.0,1.835,1.84
881f05814dfffff,54,795.0,837.2222222222222,296.0,1865.0,2.7222222222222223,2.0,1.1851851851851851,1.0,1.3518518518518519,1.0,1.0,1.0,4.014074074074074,3.96
881f058007fffff,52,1506.0,1468.4615384615386,360.0,2800.0,3.769230769230769,4.0,1.6538461538461537,2.0,2.1153846153846154,2.0,1.1153846153846154,1.0,4.156730769230769,4.205
881f058365fffff,52,825.5,923.0769230769231,308.0,2500.0,3.25,3.0,1.5,1.0,1.8076923076923077,1.0,1.0769230769230769,1.0,5.111730769230769,5.08
881f058205fffff,51,1391.0,1453.8431372549019,743.0,2400.0,3.5294117647058822,4.0,1.7647058823529411,2.0,1.8823529411764706,2.0,1.1274509803921569,1.0,4.105686274509804,4.08
881f05836bfffff,50,982.5,1104.58,500.0,2182.0,3.14,2.5,1.54,1.0,1.58,1.0,1.02,1.0,3.8594,3.825
881f0591b5fffff,45,710.0,817.4888888888889,315.0,2250.0,2.6444444444444444,2.0,1.2666666666666666,1.0,1.3777777777777778,1.0,1.0444444444444445,1.0,4.430444444444444,4.32
881f05832dfffff,44,900.0,1025.7727272727273,297.0,2400.0,3.7954545454545454,4.0,1.9545454545454546,2.0,2.1363636363636362,2.0,1.1818181818181819,1.0,4.238409090909091,4.205
881f058341fffff,43,1179.0,1259.5813953488373,269.0,2664.0,4.27906976744186,4.0,2.116279069767442,2.0,2.4186046511627906,2.0,1.255813953488372,1.0,4.003023255813954,4.06
881f058119fffff,42,1019.0,1111.5714285714287,383.0,2400.0,4.0,4.0,2.0,2.0,2.5476190476190474,2.0,1.2619047619047619,1.0,4.102857142857142,4.029999999999999
881f058027fffff,42,932.5,972.6666666666666,240.0,2302.0,3.357142857142857,3.0,1.5714285714285714,1.0,1.7857142857142858,1.0,1.0476190476190477,1.0,4.538809523809523,4.555
881f058141fffff,41,975.0,1022.7560975609756,280.0,2150.0,3.268292682926829,3.0,1.6341463414634145,1.0,1.7317073170731707,1.0,1.1097560975609757,1.0,3.7758536585365854,3.78
881f05834dfffff,41,900.0,1041.658536585366,465.0,2600.0,3.926829268292683,4.0,1.8780487804878048,1.0,2.1951219512195124,2.0,1.2560975609756098,1.0,4.819512195121951,4.82
